query,completion
What undergraduate degree programs are available at COMSATS University Attock Campus?,"The Attock Campus offers the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Which graduate and doctoral programs can I study at COMSATS University Attock Campus?,"Graduate programs include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics. Doctoral programs include PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
What departments are present at the COMSATS University Islamabad Attock Campus?,"The campus hosts the Department of Computer Science, Department of Electrical Engineering, Department of Computer Engineering, Department of Management Sciences, and Department of Mathematics."
How can I get in touch with the COMSATS University Attock Campus for admissions inquiries?,"You can contact the Attock Campus at +92-57-9316330-1 or +92-57-9049158, or visit the campus near Officers Colony, University Road, Attock."
What is the mission or commitment of COMSATS University Islamabad Attock Campus?,"The Attock Campus is committed to academic excellence, innovation, and research‑driven education, aiming to nurture future leaders by providing a dynamic learning environment supported by modern facilities and qualified faculty."
Who is the current Deputy Controller of Examinations at CUI Attock?,The Office of Deputy Controller of Examinations is headed by Mr. Mehr Yahya Durrani.
What are the main responsibilities of the Deputy Controller of Examinations office?,"The main functions are: enhancing the efficiency of the Examination Department, providing guidance on examination rules and regulations, conducting and supervising sessionals and terminal examinations, notifying the date sheet, declaring semester results, issuing progressive result cards to students, and verifying transcripts and degrees."
Which phone numbers can be used to contact CUI Attock?,You can reach CUI Attock at +92-57-9316330-1 or +92-57-9049158.
What undergraduate programs are offered by CUI Attock?,"CUI Attock offers undergraduate programs in BCS (Computer Science), BEE (Electrical Engineering), BCE (Computer Engineering), BBA (Business Administration), and BSM (Management Sciences)."
Where is CUI Attock located?,"CUI Attock is located near Officers Colony, University Road, Attock, Pakistan."
What are the phone numbers to contact CUI Attock Campus?,The contact numbers listed are +92-57-9316330-1 and +92-57-9049158.
Which campuses are part of CUI?,"CUI includes Islamabad Campus, Abbottabad Campus, Wah Campus, Lahore Campus, Sahiwal Campus, Vehari Campus, and a Virtual Campus."
What undergraduate programs does CUI offer?,"The undergraduate programs mentioned are BCS, BEE, BCE, BBA, and BSM."
What doctoral (PhD) programs are available at CUI?,"CUI offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
When was the COMSATS University Islamabad Attock Campus established?,The Attock Campus of COMSATS University Islamabad started in 2004.
What undergraduate and graduate programs are offered at CUI Attock?,"CUI Attock offers undergraduate and graduate programs in Computer Sciences, Management Science, Electrical Engineering, and Mathematics."
How many students are currently enrolled at the Attock Campus?,"Approximately 2,650 students are enrolled at the Attock Campus."
What is the contact phone number for the Attock Campus?,The contact numbers for the Attock Campus are +92-57-9316330-1 and +92-57-9049158.
Where is the COMSATS University Islamabad Attock Campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
How many academic departments are there at CUI?,CUI has 5 academic departments.
What is the size of the CUI library collection?,"The CUI library holds 11,600 books."
How many research papers have CUI faculty published in HEC‑recognized journals?,"Over 1,800 research papers have been published in HEC‑recognized journals."
What transportation services does the CUI campus provide for students?,"The campus operates 8 buses covering key routes including Rawalpindi/Islamabad, Wah/Taxila, Hazro, Nowshera, Fateh Jang, and POF/Sanjwal."
What sports and recreational facilities are available on the CUI campus?,"The campus offers a basketball court, cricket ground, football ground, hockey ground, a fully equipped gym, and table tennis facilities."
When was COMSATS University Islamabad (CUI) founded?,"COMSATS University Islamabad (CUI) started its journey in 1998, establishing its first campus in Islamabad in April 1998."
What official status did CUI receive in August 2000?,"In August 2000, the Federal Government granted CUI the status of a Degree Awarding Institute (DAI) through the promulgation of its charter."
What is the vision of the COMSATS Islamabad Campus?,"The vision of the COMSATS Islamabad Campus is to achieve a stamp of excellence in science and information technology, become a self‑sustaining state‑of‑the‑art academic and research institute, and be a leading solution provider that produces unparalleled individuals who contribute to society."
Where is the CUI campus located in Attock?,"The CUI campus in Attock is located near Officers Colony, University Road Attock, Pakistan."
What phone numbers can be used to contact CUI?,CUI can be contacted at +92-57-9316330-1 and +92-57-9049158.
What undergraduate degree programs are listed on the CUI website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Which doctoral (PhD) programs are offered at CUI?,"CUI offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can a prospective student apply for admission to CUI?,Prospective students can apply by clicking the "Apply Now" link on the website or contacting the Admission Office at the phone numbers +92-57-9316330-1 or +92-57-9049158.
What are the contact phone numbers for CUI?,The contact phone numbers provided are +92-57-9316330-1 and +92-57-9049158.
Which campuses are part of CUI?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
What doctoral programs are offered at CUI Attock Campus?,"CUI Attock Campus offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can I contact the CUI Attock Campus for admissions inquiries?,"You can contact CUI Attock Campus at +92-57-9316330-1 or +92-57-9049158. The campus is located near Officers Colony, University Road Attock."
Which undergraduate degrees are available at CUI Attock Campus?,"The undergraduate degrees listed are BCS (Computer Science), BEE (Electrical Engineering), BCE (Computer Engineering), BBA (Business Administration), and BSM (Management Sciences)."
What campuses are part of the CUI university system?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
Where can I find information about scholarships at CUI Attock Campus?,"Scholarship information is available under the 'Scholarships' section on the CUI Attock Campus website, and you can also click the 'Scholarship' quick link on the homepage."
What undergraduate programs does CUI offer?,"CUI offers the following undergraduate programs: BCS, BEE, BCE, BBA, and BSM."
How can I contact the university office in Attock?,"You can contact the Attock office at +92-57-9316330-1 or +92-57-9049158. The address is Near Officers Colony, University Road Attock."
Which campuses are part of CUI?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
What graduate degree does the Department of Computer Science offer?,The Department of Computer Science offers a Master of Science in Computer Science.
What undergraduate degree does the Department of Computer Engineering offer?,The Department of Computer Engineering offers a Bachelor of Science in Computer Engineering.
Which doctoral programs are listed for CUI?,"CUI lists PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can I contact the university campus in Attock?,"You can contact the campus at +92-57-9316330-1 or +92-57-9049158. The address is Near Officers Colony, University Road Attock."
Which department offers a Bachelor of Science in Business Administration?,The Department of Management Sciences offers a Bachelor of Science in Business Administration.
What is the registration fee for undergraduate programs at CUI?,"The registration fee for all undergraduate programs (both Computer Sciences and Engineering) is 7,000 RS per semester."
How much is the tuition fee for the Computer Sciences undergraduate program for the Spring 2026 semester?,"For the Spring 2026 semester, the tuition fee for the Computer Sciences undergraduate program is 139,000 RS, making the total fee (including the 7,000 RS registration fee) 146,000 RS."
What is the total fee for the Engineering undergraduate program for the Fall 2025 semester?,"For the Fall 2025 semester, the Engineering undergraduate program charges a tuition fee of 144,500 RS plus a 7,000 RS registration fee, resulting in a total of 151,500 RS."
What are the contact phone numbers for the university?,The university can be contacted at +92-57-9316330-1 and +92-57-9049158.
